session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
3gnqpasm,1,1dqews0a,1,impact_beliefs,IntroWelcome,1623072452,1,0,0
3gnqpasm,1,1dqews0a,3,impact_beliefs,Instructions,1623072565,1,0,0
3gnqpasm,1,1dqews0a,4,impact_beliefs,Sliders,1623072734,1,0,0
3gnqpasm,1,1dqews0a,16,impact_beliefs,Instructions,1623072827,2,0,0
3gnqpasm,1,1dqews0a,18,impact_beliefs,TrialBelief1,1623072850,2,0,0
3gnqpasm,1,1dqews0a,19,impact_beliefs,TrialBelief2,1623072872,2,0,0
3gnqpasm,1,1dqews0a,20,impact_beliefs,TrialBelief3,1623072897,2,0,0
3gnqpasm,1,1dqews0a,21,impact_beliefs,Introbelief,1623072899,2,0,0
3gnqpasm,1,1dqews0a,22,impact_beliefs,Belief,1623072925,2,0,0
3gnqpasm,1,1dqews0a,35,impact_beliefs,Belief,1623072947,3,0,0
3gnqpasm,1,1dqews0a,48,impact_beliefs,Belief,1623072969,4,0,0
3gnqpasm,1,1dqews0a,61,impact_beliefs,Belief,1623072991,5,0,0
3gnqpasm,1,1dqews0a,74,impact_beliefs,Belief,1623073014,6,0,0
3gnqpasm,1,1dqews0a,87,impact_beliefs,Belief,1623073036,7,0,0
3gnqpasm,1,1dqews0a,100,impact_beliefs,Belief,1623073060,8,0,0
3gnqpasm,1,1dqews0a,113,impact_beliefs,Belief,1623073083,9,0,0
3gnqpasm,1,1dqews0a,126,impact_beliefs,Belief,1623073106,10,0,0
3gnqpasm,1,1dqews0a,139,impact_beliefs,Belief,1623073129,11,0,0
3gnqpasm,1,1dqews0a,152,impact_beliefs,Belief,1623073151,12,0,0
3gnqpasm,1,1dqews0a,165,impact_beliefs,Belief,1623073173,13,0,0
3gnqpasm,1,1dqews0a,178,impact_beliefs,Belief,1623073196,14,0,0
3gnqpasm,1,1dqews0a,191,impact_beliefs,Belief,1623073219,15,0,0
3gnqpasm,1,1dqews0a,198,impact_beliefs,Instructions,1623073307,16,0,0
3gnqpasm,1,1dqews0a,205,impact_beliefs,Donation,1623073323,16,0,0
3gnqpasm,1,1dqews0a,218,impact_beliefs,Donation,1623073325,17,0,0
3gnqpasm,1,1dqews0a,231,impact_beliefs,Donation,1623073342,18,0,0
3gnqpasm,1,1dqews0a,244,impact_beliefs,Donation,1623073343,19,0,0
3gnqpasm,1,1dqews0a,257,impact_beliefs,Donation,1623073344,20,0,0
3gnqpasm,1,1dqews0a,270,impact_beliefs,Donation,1623073346,21,0,0
3gnqpasm,1,1dqews0a,283,impact_beliefs,Donation,1623073347,22,0,0
3gnqpasm,1,1dqews0a,296,impact_beliefs,Donation,1623073348,23,0,0
3gnqpasm,1,1dqews0a,309,impact_beliefs,Donation,1623073350,24,0,0
3gnqpasm,1,1dqews0a,322,impact_beliefs,Donation,1623073352,25,0,0
3gnqpasm,1,1dqews0a,335,impact_beliefs,Donation,1623073354,26,0,0
3gnqpasm,1,1dqews0a,348,impact_beliefs,Donation,1623073356,27,0,0
3gnqpasm,1,1dqews0a,361,impact_beliefs,Donation,1623073357,28,0,0
3gnqpasm,1,1dqews0a,374,impact_beliefs,Donation,1623073359,29,0,0
3gnqpasm,1,1dqews0a,380,impact_beliefs,Instructions,1623073360,30,0,0
3gnqpasm,1,1dqews0a,386,impact_beliefs,Belief,1623073383,30,0,0
3gnqpasm,1,1dqews0a,399,impact_beliefs,Belief,1623073407,31,0,0
3gnqpasm,1,1dqews0a,412,impact_beliefs,Belief,1623073431,32,0,0
3gnqpasm,1,1dqews0a,425,impact_beliefs,Belief,1623073453,33,0,0
3gnqpasm,1,1dqews0a,438,impact_beliefs,Belief,1623073476,34,0,0
3gnqpasm,1,1dqews0a,451,impact_beliefs,Belief,1623073502,35,0,0
3gnqpasm,1,1dqews0a,464,impact_beliefs,Belief,1623073525,36,0,0
3gnqpasm,1,1dqews0a,477,impact_beliefs,Belief,1623073548,37,0,0
3gnqpasm,1,1dqews0a,490,impact_beliefs,Belief,1623073570,38,0,0
3gnqpasm,1,1dqews0a,503,impact_beliefs,Belief,1623073592,39,0,0
3gnqpasm,1,1dqews0a,516,impact_beliefs,Belief,1623073614,40,0,0
3gnqpasm,1,1dqews0a,529,impact_beliefs,Belief,1623073636,41,0,0
3gnqpasm,1,1dqews0a,542,impact_beliefs,Belief,1623073658,42,0,0
3gnqpasm,1,1dqews0a,555,impact_beliefs,Belief,1623073680,43,0,0
3gnqpasm,1,1dqews0a,562,impact_beliefs,Instructions,1623073682,44,0,0
3gnqpasm,1,1dqews0a,569,impact_beliefs,Donation,1623073685,44,0,0
3gnqpasm,1,1dqews0a,582,impact_beliefs,Donation,1623073687,45,0,0
3gnqpasm,1,1dqews0a,595,impact_beliefs,Donation,1623073688,46,0,0
3gnqpasm,1,1dqews0a,608,impact_beliefs,Donation,1623073689,47,0,0
3gnqpasm,1,1dqews0a,621,impact_beliefs,Donation,1623073691,48,0,0
3gnqpasm,1,1dqews0a,634,impact_beliefs,Donation,1623073692,49,0,0
3gnqpasm,1,1dqews0a,647,impact_beliefs,Donation,1623073695,50,0,0
3gnqpasm,1,1dqews0a,660,impact_beliefs,Donation,1623073696,51,0,0
3gnqpasm,1,1dqews0a,673,impact_beliefs,Donation,1623073698,52,0,0
3gnqpasm,1,1dqews0a,686,impact_beliefs,Donation,1623073700,53,0,0
3gnqpasm,1,1dqews0a,699,impact_beliefs,Donation,1623073702,54,0,0
3gnqpasm,1,1dqews0a,712,impact_beliefs,Donation,1623073704,55,0,0
3gnqpasm,1,1dqews0a,725,impact_beliefs,Donation,1623073707,56,0,0
3gnqpasm,1,1dqews0a,738,impact_beliefs,Donation,1623073709,57,0,0
3gnqpasm,1,1dqews0a,739,impact_beliefs,CarbonBelief,1623073719,57,0,0
3gnqpasm,1,1dqews0a,740,impact_beliefs,CostBelief,1623073727,57,0,0
3gnqpasm,1,1dqews0a,741,impact_beliefs,Questionnaire,1623073739,57,0,0
3gnqpasm,1,1dqews0a,742,carbon_footprint,Energy,1623073749,1,0,0
3gnqpasm,1,1dqews0a,743,carbon_footprint,Mobility,1623073757,1,0,0
3gnqpasm,1,1dqews0a,744,carbon_footprint,Food,1623073765,1,0,0
3gnqpasm,1,1dqews0a,745,carbon_footprint,Miscellaneous,1623073771,1,0,0
3gnqpasm,1,1dqews0a,746,carbon_footprint,Results,1623073774,1,0,0
3gnqpasm,2,smtvun7q,1,impact_beliefs,IntroWelcome,1623075266,1,0,0
3gnqpasm,4,uayvvw7g,1,impact_beliefs,IntroWelcome,1623075670,1,0,0
3gnqpasm,4,uayvvw7g,3,impact_beliefs,Instructions,1623075756,1,0,0
3gnqpasm,5,e79ro2py,1,impact_beliefs,IntroWelcome,1623075771,1,0,0
3gnqpasm,5,e79ro2py,3,impact_beliefs,Instructions,1623075855,1,0,0
3gnqpasm,4,uayvvw7g,4,impact_beliefs,Sliders,1623075978,1,0,0
3gnqpasm,5,e79ro2py,4,impact_beliefs,Sliders,1623076073,1,0,0
3gnqpasm,4,uayvvw7g,16,impact_beliefs,Instructions,1623076080,2,0,0
3gnqpasm,4,uayvvw7g,18,impact_beliefs,TrialBelief1,1623076109,2,1,0
3gnqpasm,4,uayvvw7g,19,impact_beliefs,TrialBelief2,1623076135,2,0,0
3gnqpasm,5,e79ro2py,16,impact_beliefs,Instructions,1623076151,2,0,0
3gnqpasm,4,uayvvw7g,20,impact_beliefs,TrialBelief3,1623076160,2,0,0
3gnqpasm,4,uayvvw7g,21,impact_beliefs,Introbelief,1623076164,2,0,0
3gnqpasm,5,e79ro2py,18,impact_beliefs,TrialBelief1,1623076176,2,0,0
3gnqpasm,6,wzhof1i5,1,impact_beliefs,IntroWelcome,1623076183,1,0,0
3gnqpasm,4,uayvvw7g,22,impact_beliefs,Belief,1623076190,2,0,0
3gnqpasm,5,e79ro2py,19,impact_beliefs,TrialBelief2,1623076204,2,0,0
3gnqpasm,4,uayvvw7g,35,impact_beliefs,Belief,1623076215,3,0,0
3gnqpasm,4,uayvvw7g,48,impact_beliefs,Belief,1623076241,4,0,0
3gnqpasm,7,0ugo7mza,1,impact_beliefs,IntroWelcome,1623076261,1,0,0
3gnqpasm,4,uayvvw7g,61,impact_beliefs,Belief,1623076267,5,0,0
3gnqpasm,8,3tu1qzz5,1,impact_beliefs,IntroWelcome,1623076288,1,0,0
3gnqpasm,4,uayvvw7g,74,impact_beliefs,Belief,1623076292,6,0,0
3gnqpasm,6,wzhof1i5,3,impact_beliefs,Instructions,1623076303,1,0,0
3gnqpasm,4,uayvvw7g,87,impact_beliefs,Belief,1623076318,7,0,0
3gnqpasm,4,uayvvw7g,100,impact_beliefs,Belief,1623076344,8,0,0
3gnqpasm,8,3tu1qzz5,3,impact_beliefs,Instructions,1623076355,1,0,0
3gnqpasm,4,uayvvw7g,113,impact_beliefs,Belief,1623076372,9,0,0
3gnqpasm,4,uayvvw7g,126,impact_beliefs,Belief,1623076398,10,0,0
3gnqpasm,4,uayvvw7g,139,impact_beliefs,Belief,1623076425,11,0,0
3gnqpasm,4,uayvvw7g,152,impact_beliefs,Belief,1623076451,12,0,0
3gnqpasm,4,uayvvw7g,165,impact_beliefs,Belief,1623076477,13,0,0
3gnqpasm,7,0ugo7mza,3,impact_beliefs,Instructions,1623076486,1,0,0
3gnqpasm,4,uayvvw7g,178,impact_beliefs,Belief,1623076506,14,0,0
3gnqpasm,4,uayvvw7g,191,impact_beliefs,Belief,1623076532,15,0,0
3gnqpasm,6,wzhof1i5,4,impact_beliefs,Sliders,1623076562,1,0,0
3gnqpasm,8,3tu1qzz5,4,impact_beliefs,Sliders,1623076629,1,0,0
3gnqpasm,4,uayvvw7g,198,impact_beliefs,Instructions,1623076696,16,0,0
3gnqpasm,7,0ugo7mza,4,impact_beliefs,Sliders,1623076711,1,0,0
3gnqpasm,4,uayvvw7g,205,impact_beliefs,Donation,1623076727,16,0,0
3gnqpasm,4,uayvvw7g,218,impact_beliefs,Donation,1623076732,17,0,0
3gnqpasm,4,uayvvw7g,231,impact_beliefs,Donation,1623076736,18,0,0
3gnqpasm,4,uayvvw7g,244,impact_beliefs,Donation,1623076738,19,0,0
3gnqpasm,4,uayvvw7g,257,impact_beliefs,Donation,1623076741,20,0,0
3gnqpasm,4,uayvvw7g,270,impact_beliefs,Donation,1623076745,21,0,0
3gnqpasm,6,wzhof1i5,16,impact_beliefs,Instructions,1623076746,2,0,0
3gnqpasm,4,uayvvw7g,283,impact_beliefs,Donation,1623076748,22,0,0
3gnqpasm,4,uayvvw7g,296,impact_beliefs,Donation,1623076751,23,0,0
3gnqpasm,4,uayvvw7g,309,impact_beliefs,Donation,1623076754,24,0,0
3gnqpasm,4,uayvvw7g,322,impact_beliefs,Donation,1623076757,25,0,0
3gnqpasm,4,uayvvw7g,335,impact_beliefs,Donation,1623076760,26,0,0
3gnqpasm,9,c0axnxap,1,impact_beliefs,IntroWelcome,1623076760,1,0,0
3gnqpasm,4,uayvvw7g,348,impact_beliefs,Donation,1623076763,27,0,0
3gnqpasm,4,uayvvw7g,361,impact_beliefs,Donation,1623076767,28,0,0
3gnqpasm,4,uayvvw7g,374,impact_beliefs,Donation,1623076770,29,0,0
3gnqpasm,8,3tu1qzz5,16,impact_beliefs,Instructions,1623076773,2,0,0
3gnqpasm,6,wzhof1i5,18,impact_beliefs,TrialBelief1,1623076774,2,0,0
3gnqpasm,4,uayvvw7g,380,impact_beliefs,Instructions,1623076791,30,0,0
3gnqpasm,8,3tu1qzz5,18,impact_beliefs,TrialBelief1,1623076798,2,0,0
3gnqpasm,6,wzhof1i5,19,impact_beliefs,TrialBelief2,1623076800,2,0,0
3gnqpasm,4,uayvvw7g,386,impact_beliefs,Belief,1623076816,30,0,0
3gnqpasm,8,3tu1qzz5,19,impact_beliefs,TrialBelief2,1623076822,2,0,0
3gnqpasm,4,uayvvw7g,399,impact_beliefs,Belief,1623076849,31,0,0
3gnqpasm,9,c0axnxap,3,impact_beliefs,Instructions,1623076870,1,0,0
3gnqpasm,4,uayvvw7g,412,impact_beliefs,Belief,1623076875,32,0,0
